Street,City,propertycard__detailvalue,quartos,banheiros,vagas,price
Rua Camacam,Vila Anastácio,138,2,2,3,699000
Alto de Pinheiros São Paulo,SP,764,3,5,4,48000
Brooklin Paulista São Paulo,SP,304,4,6,6,12000
Alto da Lapa São Paulo,SP,430,5,7,12,2000000
Rua Bennet,Alto de Pinheiros,531,4,3,6,3500000
Vila Sônia São Paulo,SP,520,4,7,6,8000
Rua Alberto Hodge,Santo Amaro,271,6,6,2,1650000
Jardim Europa São Paulo,SP,501,4,5,14,12000000
Jardim Paulista São Paulo,SP,1060,5,6,4,30000000
Jardim das Bandeiras São Paulo,SP,420,4,4,6,3800000
Rua Mauricina,Vila Romana,170,2,2,4,1250000
Rua Nova York,Brooklin Paulista,380,5,3,6,2500000
Rua José Aldo Piassi,São Miguel Paulista,200,3,1,5,650000
Alto de Pinheiros São Paulo,SP,520,3,8,10,3723000
Vila Madalena São Paulo,SP,600,4,6,6,7000000
Pacaembu São Paulo,SP,388,4,4,3,8000000
Pacaembu São Paulo,SP,450,4,5,3,4300000
Rua Nova York,Brooklin Paulista,380,5,3,6,2500000
Rua José Aldo Piassi,São Miguel Paulista,200,3,1,5,650000
Alto de Pinheiros São Paulo,SP,520,3,8,10,3723000
Vila Madalena São Paulo,SP,600,4,6,6,7000000
Pacaembu São Paulo,SP,388,4,4,3,8000000
Pacaembu São Paulo,SP,450,4,5,3,4300000
Rua Sampaio Vidal,Jardim Paulistano,380,4,4,4,5100000
Itaberaba São Paulo,SP,220,3,3,4,1290000
Granja Julieta São Paulo,SP,483,4,4,3,3900000
Cidade Jardim São Paulo,SP,350,3,4,4,3800000
Rua Tomé Portes,Brooklin Paulista,480,4,6,3,9000
Rua Camundo,Planalto Paulista,155,3,4,3,790000
Rua Wilson Dupont,Santana,170,3,3,1,905000
Rua Tapinas,Itaim Bibi,156,4,3,2,1820000
Jardim Luzitânia São Paulo,SP,385,3,5,4,9800000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,283,3,5,3,3000000
Jardim Guedala São Paulo,SP,505,4,7,4,18000
Rua Arapuã,Vila Guarani (Z Sul),138,3,3,2,550000
Rua Bolívia,Jardim América,420,4,5,6,8900000
Pacaembu São Paulo,SP,456,4,5,11,3200000
Vila Salete São Paulo,SP,174,3,2,2,640000
Cidade Jardim São Paulo,SP,1100,4,4,14,12800000
Rua Simpatia,Jardim das Bandeiras,476,4,3,4,3640000
Jardim Guedala São Paulo,SP,960,4,6,6,4800000
Rua Inácio Pedroso,Jardim Guedala,678,4,6,6,7300000
Rua Doutor Manoel Maria Tourinho,Pacaembu,495,5,5,4,4000000
Rua Apinajés,Perdizes,200,3,4,3,2660000
Indianópolis São Paulo,SP,280,4,2,2,2450000
Rua Vieira de Almeida,Ipiranga,130,3,2,5,1200000
Rua Irmão Gonçalo,Jardim das Bandeiras,815,6,5,8,8000000
Alto de Pinheiros São Paulo,SP,320,3,3,3,3750000
Alto de Pinheiros São Paulo,SP,420,5,4,4,4650000
Vila Cruzeiro São Paulo,SP,200,3,3,2,1160000
Rua Afonso José de Carvalho,Vila Madalena,180,3,2,4,1600000
Rua Muribeca,Cidade Jardim,420,4,5,3,3000000
Chora Menino São Paulo,SP,256,3,4,4,822000
Vila Campo Grande São Paulo,SP,229,2,3,1,420000
Jardim Ana Maria São Paulo,SP,491,4,5,8,4600000
Rua Thereza Masironi Gonfiantini,Vila Nova Alba,147,3,3,2,500000
Vila Nova Caledonia São Paulo,SP,300,4,4,4,1600000
Rua Maracaibo,Jardim Everest,600,3,7,6,4950000
Rua Barão do Bananal,Vila Pompéia,106,3,2,2,920000
Rua Artur de Souza Marques,Vila Tramontano,1000,4,5,6,25000
Travessa Doutor Ezequiel Antunes de Oliveira,Vila Nova Conceição,170,3,4,3,2690000
Vila Madalena São Paulo,SP,330,3,3,2,5800000
Jardim Paulistano São Paulo,SP,748,5,6,6,43000
Pacaembu São Paulo,SP,1171,5,7,10,16000000
Campo Belo São Paulo,SP,380,3,4,5,2800000
Rua Abegoaria,Pinheiros,686,4,6,6,5800000
Rua Pedro Osório Filho,Vila Nova Cachoeirinha,180,3,3,2,650000
Jardim Trussardi São Paulo,SP,240,3,4,4,3000000
Alameda dos Guatás,Saúde,90,2,4,2,750000
Pacaembu São Paulo,SP,520,6,6,5,2500000
Alameda dos Anapurus,Indianópolis,218,3,3,3,1690000
Rua Portugal,Jardim Europa,319,3,3,4,5000000
Vila Tramontano São Paulo,SP,414,4,5,5,1780000
Pacaembu São Paulo,SP,709,4,5,10,9600000
Jardim Paulista São Paulo,SP,301,4,3,4,6950000
Rua Antônio de Gouveia Giudice,Alto de Pinheiros,331,3,5,3,3500000
Rua Comandante Garcia D'Ávila,Morumbi,393,6,6,4,1390000
Vila Cordeiro São Paulo,SP,1126,4,6,24,6400000
Rua Dom Henrique,Jardim Luzitânia,395,4,7,3,6600000
Jardim Guedala São Paulo,SP,862,4,9,8,8250000
Rua Luiz Amorim Costa,Vila Carolina,160,3,2,3,400000
Campo Belo São Paulo,SP,428,5,7,3,2800000
Cidade Jardim São Paulo,SP,550,4,1,6,4800000
Avenida Celso dos Santos,Vila Constança,100,2,2,2,480000
Vila Carbone São Paulo,SP,92,2,1,2,340000
Alto de Pinheiros São Paulo,SP,316,3,3,6,6000000
Brooklin Paulista São Paulo,SP,350,4,4,4,2000000
Penha de França São Paulo,SP,180,3,1,3,750000
Rua Turquia,Pinheiros,1100,4,6,8,19000000
Jardim América São Paulo,SP,1000,5,8,8,30000000
Rua Gama Cerqueira,Cambuci,281,3,5,3,1490000
Jardim Paulista São Paulo,SP,1150,5,7,7,27000000
Rua Almeida Ferraz,Parque Jabaquara,126,4,3,3,695000
Rua Pirapó,Jardim Guedala,650,3,3,3,5500000
Rua Jupuruchita,Alto da Mooca,190,3,1,3,1049400
Rua Senador Vergueiro,Santo Amaro,350,3,4,6,2950000
Rua Líbero Ripole,Jardim Umuarama,250,3,1,1,950000
Rua Orobó,Alto de Pinheiros,295,4,4,4,4000000
Vila Adalgisa São Paulo,SP,250,3,5,3,750000
Santo Amaro São Paulo,SP,270,3,4,3,2080000
Mirandópolis São Paulo,SP,378,4,4,7,2000000
Rua Canumá,Jardim dos Estados,900,5,10,9,12000
Boaçava São Paulo,SP,422,5,8,6,4500000
Rua Engenheiro Pedro Garcin,Vila Antônio,110,2,1,2,480000
Rua Mário Guastini,Pinheiros,700,5,7,5,9500000
Rua Domingos Lopes,Campo Belo,145,3,3,2,900000
Rua Ática,Jardim Brasil (Zona Sul),174,3,4,1,599000
Rua Ajurapéia,Vila Madalena,210,3,1,2,1050000
Jardim Leonor São Paulo,SP,491,4,8,4,3100000
Avenida Iraí,Indianópolis,420,4,7,4,1800000
Rua Nova Orleans,Brooklin Paulista,150,2,3,4,1590000
Rua Maria Teresa Assunção,Vila São Geraldo,160,3,3,2,636000
Rua Vicente Romano,Parque da Mooca,341,4,3,4,2300000
Rua Manuel Galvão,Mooca,106,3,3,2,450000
Jardim América São Paulo,SP,815,4,6,4,25500000
Jardim Guedala São Paulo,SP,560,4,6,3,6800000
Rua Stefan Marek Neuding,Jardim Sílvia (Zona Oeste),1643,4,8,10,4495000
Rua Alemanha,Jardim Europa,600,4,4,7,13500000
Rua Kalil Filho,Indianópolis,225,3,2,2,1850000
Rua Pau,Brasil,296,3,2,5,2750000
Consolação São Paulo,SP,340,9,5,5,21000
Vila Cordeiro São Paulo,SP,200,4,6,4,3600000
Jardim Monte Kemel São Paulo,SP,158,2,1,1,480000
Rua David Pimentel,Fazenda Morumbi,900,4,8,9,35000
Avenida Doutor Cardoso de Melo,Vila Olímpia,200,2,3,2,2900000
Pacaembu São Paulo,SP,240,5,7,6,2980000
Rua Raqueta Provensano,Chácara Califórnia,140,2,1,2,1400000
Jardim Paulistano São Paulo,SP,300,4,2,4,8500
Jardim Bonfiglioli São Paulo,SP,115,3,1,1,500000
Jardim Paulista São Paulo,SP,300,4,5,4,5500000
Rua Professor Murtinho,Vila Mariana,290,4,5,2,2900000
Rua Alexandre Marcondes Machado,Butantã,371,3,4,3,2800000
Rua Marquês de Cascais,Brooklin Paulista,146,3,4,3,1500000
Jardim Guedala São Paulo,SP,650,3,4,3,6500000
Fazenda Morumbi São Paulo,SP,961,4,12,9,6500000
Vila Ida São Paulo,SP,440,4,6,6,5750000
Alto de Pinheiros São Paulo,SP,722,4,11,10,6200000
Rua Topázio,Vila Mariana,300,4,5,4,1900000
Itaim Bibi São Paulo,SP,170,2,3,3,3300000
Rua Maracaí,Aclimação,420,3,6,4,11005
Rua Doutor Augusto de Miranda,Vila Pompéia,110,3,3,1,970000
Pacaembu São Paulo,SP,380,3,1,2,1900000
Jardim Panorama São Paulo,SP,374,5,4,6,3200000
Rua Dom Lucas Obes,Ipiranga,140,3,2,2,750000
Rua Dezenove de Maio,Vila Esperança,170,3,3,2,680000
Rua Morishigue Akagui,Vila Progredior,700,4,8,5,7800000
Rua Miranda Guerra,Jardim Petrópolis,255,3,3,5,1400000
Rua General Sena Vasconcelos,Jardim Guedala,521,4,7,4,3750000
Jardim Europa São Paulo,SP,800,4,6,8,23600000
Boaçava São Paulo,SP,433,4,4,10,6000000
Rua Antônio Mariani,Instituto de Previdência,100,3,4,3,6500
Jardim Ester São Paulo,SP,125,3,1,3,599000
Interlagos São Paulo,SP,250,3,3,4,1200000
Rua Capital Federal,Sumaré,646,5,4,3,2640000
Jardim Guedala São Paulo,SP,422,4,8,6,20000
Jardim Guedala São Paulo,SP,918,5,3,16,9000000
Jardim América São Paulo,SP,480,5,3,3,8200000
Jardim Leonor São Paulo,SP,850,4,6,6,5990000
Cidade Jardim São Paulo,SP,410,2,2,4,3000000
Jardim Paulista São Paulo,SP,935,5,6,4,12000000
Alto de Pinheiros São Paulo,SP,559,4,6,4,6100000
Rua Capital Federal,Sumaré,646,5,4,3,2640000
Jardim Guedala São Paulo,SP,422,4,8,6,20000
Jardim Guedala São Paulo,SP,918,5,3,16,9000000
Jardim América São Paulo,SP,480,5,3,3,8200000
Jardim Leonor São Paulo,SP,850,4,6,6,5990000
Cidade Jardim São Paulo,SP,410,2,2,4,3000000
Jardim Paulista São Paulo,SP,935,5,6,4,12000000
Alto de Pinheiros São Paulo,SP,559,4,6,4,6100000
Rua Rodrigo Vieira,Jardim Vila Mariana,235,4,4,2,1700000
Instituto de Previdência São Paulo,SP,450,5,5,3,1355010
Caxingui São Paulo,SP,800,4,4,8,20000
Rua Catuicara,Jardim Novo Mundo,220,4,5,3,2700000
Rua Grécia,Jardim Europa,265,5,6,4,4800000
Rua General Fonseca Teles,Jardim Paulista,420,3,7,3,8700000
Rua Dom Tomás Costa e Lima,Vila Tramontano,600,3,6,8,4900000
Rua Adalívia de Toledo,Paineiras do Morumbi,500,4,4,5,2500000
Paineiras do Morumbi São Paulo,SP,815,4,3,4,3000000
Rua Margarida Galvão,Paineiras do Morumbi,580,3,4,6,4100000
Vila Campo Grande São Paulo,SP,229,2,3,1,420000
Jardim Ana Maria São Paulo,SP,491,4,5,8,4600000
Rua Thereza Masironi Gonfiantini,Vila Nova Alba,147,3,3,2,500000
Vila Nova Caledonia São Paulo,SP,300,4,4,4,1600000
Rua Maracaibo,Jardim Everest,600,3,7,6,4950000
Rua Barão do Bananal,Vila Pompéia,106,3,2,2,920000
Rua Artur de Souza Marques,Vila Tramontano,1000,4,5,6,25000
Travessa Doutor Ezequiel Antunes de Oliveira,Vila Nova Conceição,170,3,4,3,2690000
Vila Madalena São Paulo,SP,330,3,3,2,5800000
Jardim Paulistano São Paulo,SP,748,5,6,6,43000
Pacaembu São Paulo,SP,1171,5,7,10,16000000
Campo Belo São Paulo,SP,380,3,4,5,2800000
Rua Abegoaria,Pinheiros,686,4,6,6,5800000
Rua Pedro Osório Filho,Vila Nova Cachoeirinha,180,3,3,2,650000
Jardim Trussardi São Paulo,SP,240,3,4,4,3000000
Alameda dos Guatás,Saúde,90,2,4,2,750000
Pacaembu São Paulo,SP,520,6,6,5,2500000
Rua Conde de Irajá,Vila Mariana,369,3,1,3,1950000
Rua Professor João Marinho,Vila Mariana,165,3,4,2,1490000
Rua Doutor José Maria Whitaker,Vila Sônia,259,3,3,2,1500000
Rua Ulisses Cruz,Tatuapé,117,2,1,1,495000
Rua Acruás,Vila Congonhas,158,2,1,2,1200000
Avenida Professor Frederico Herman Júnior,Alto de Pinheiros,347,5,5,5,3500000
Rua Vicente Biondo,Vila Ester (Zona Norte),226,3,1,4,670000
Rua Caetano José Batista,Jardim das Acácias,150,3,1,2,691000
Rua Xavier da Veiga,Santana,300,4,2,4,1596000
Rua Professor Oliveira Fausto,Alto da Mooca,360,4,1,4,1600000
Rua Japuanga,Vila Ida,400,3,1,5,4043000
Rua Simpatia,Jardim das Bandeiras,250,2,1,6,2000000
Rua Baturité,Aclimação,208,3,1,3,1383000
Rua Oscar Caravelas,Sumarezinho,324,6,2,4,1800000
Rua Laurindo de Brito,Lapa,260,3,2,4,1200000
Rua Timbó,Mooca,170,3,1,2,1000000
Rua Frei Juan Auli,Jardim Patente,150,2,3,5,455000
Avenida Piassanguaba,Planalto Paulista,182,3,1,2,980000
Rua Boquim,Vila Ida,235,3,3,5,2500000
Rua Gil Fernandes,Bosque da Saúde,388,3,4,4,1700000
Morumbi São Paulo,SP,350,4,5,4,14000
Rua Gregório Paes de Almeida,Vila Madalena,400,4,5,6,2490000
Brooklin Paulista São Paulo,SP,420,4,4,3,3000000
Rua Lourenço Castanho,Vila Nova Conceição,177,3,4,3,2850000
Rua Prestes João,Jardim Luzitânia,550,2,5,5,7000000
Rua Martins Bonilha,Alto da Mooca,175,6,3,2,1300000
Rua Manuel Navarro,Jardim Guedala,595,5,7,5,5500000
Rua Antônio de Gouveia Giudice,Alto de Pinheiros,483,5,1,4,5000000
Rua Honduras,Jardim Paulista,500,4,6,8,7000000
Cidade Jardim São Paulo,SP,450,3,2,4,3000000
Rua Paris,Sumaré,150,3,3,2,1200000
Jardim América São Paulo,SP,600,3,5,5,12000
Jardim Paulista São Paulo,SP,220,3,5,2,4950000
Rua Pedro Mainente,Parque dos Príncipes,173,3,2,4,750000
Alto de Pinheiros São Paulo,SP,340,4,4,4,4500000
Jardim Paulistano São Paulo,SP,700,4,6,2,30000
Rua Capital Federal,Sumaré,230,4,2,1,1500000
Boaçava São Paulo,SP,422,5,8,6,4500000
Rua Engenheiro Pedro Garcin,Vila Antônio,110,2,1,2,480000
Boaçava São Paulo,SP,327,5,4,4,3000000
Rua Mário Guastini,Pinheiros,700,5,7,5,9500000
Rua Domingos Lopes,Campo Belo,145,3,3,2,900000
Rua Jardim Hollywood,Santana,250,4,4,5,1750000
Rua Ática,Jardim Brasil (Zona Sul),174,3,4,1,599000
Rua Ajurapéia,Vila Madalena,210,3,1,2,1050000
Jardim Leonor São Paulo,SP,491,4,8,4,3100000
Avenida Iraí,Indianópolis,420,4,7,4,1800000
Rua Nova Orleans,Brooklin Paulista,150,2,3,4,1590000
Rua Maria Teresa Assunção,Vila São Geraldo,160,3,3,2,636000
Rua Vicente Romano,Parque da Mooca,341,4,3,4,2300000
Rua Manuel Galvão,Mooca,106,3,3,2,450000
Jardim América São Paulo,SP,815,4,6,4,25500000
Jardim Guedala São Paulo,SP,560,4,6,3,6800000
Rua Stefan Marek Neuding,Jardim Sílvia (Zona Oeste),1643,4,8,10,4495000
Rua Alemanha,Jardim Europa,600,4,4,7,13500000
Rua Kalil Filho,Indianópolis,225,3,2,2,1850000
Rua Pau,Brasil,296,3,2,5,2750000
Consolação São Paulo,SP,340,9,5,5,21000
Vila Cordeiro São Paulo,SP,200,4,6,4,3600000
Jardim Monte Kemel São Paulo,SP,158,2,1,1,480000
Rua David Pimentel,Fazenda Morumbi,900,4,8,9,35000
Avenida Doutor Cardoso de Melo,Vila Olímpia,200,2,3,2,2900000
Rua Abagiba,Saúde,180,2,1,2,745000
Boaçava São Paulo,SP,488,5,7,6,4250000
Jardim dos Estados São Paulo,SP,500,4,5,5,4900000
Jardim América São Paulo,SP,1141,5,5,10,100000
Rua Benedito Chaves,Jardim Paulistano,433,5,4,8,6500000
Jardim Leonor São Paulo,SP,560,4,5,4,4750000
Rua Leopoldo Fróes,Alto da Mooca,170,3,3,5,950000
Rua Colatino Marques,Jardim Paulista,548,4,6,6,6200000
Rua General Euclides Figueiredo,Morumbi,455,4,5,6,1580000
Rua França,Jardim Europa,952,3,7,10,22000000
Rua Iraci,Jardim Paulistano,250,3,3,3,2100000
Rua General Euclides Figueiredo,Morumbi,455,4,5,6,1580000
Rua França,Jardim Europa,952,3,7,10,22000000
Rua Iraci,Jardim Paulistano,250,3,3,3,2100000
Retiro Morumbi São Paulo,SP,1356,5,12,26,15000
Rua Comendador Bichara Moherdauí,Jardim Leonor,798,5,7,8,4950000
Alto de Pinheiros São Paulo,SP,380,4,5,5,5200000
Largo Mestre de Aviz,Jardim Luzitânia,454,4,6,4,3850000
Rua Macejana,Indianópolis,89,3,1,2,638500
Vila São Silvestre São Paulo,SP,168,3,1,4,900000
Retiro Morumbi São Paulo,SP,2100,7,14,12,19800000
Rua Escócia,Pinheiros,601,4,5,4,8500000
Morumbi São Paulo,SP,713,5,7,8,4000000
Rua Elias Cutait,Cidade Jardim,280,3,3,4,9000
Rua Monsanto,Pinheiros,420,4,4,6,2900000
Vila Tramontano São Paulo,SP,1650,6,16,42,100000
Rua João Bizarro da Nave,Vila Diva (Zona Leste),178,3,1,3,450000
Vila Ida São Paulo,SP,428,7,6,4,3300000
Jardim América São Paulo,SP,170,2,3,2,2300000
Rua Gustavo Teixeira,Pacaembu,350,3,2,4,2700000
Chácara Tatuapé São Paulo,SP,150,3,2,2,640000
Boaçava São Paulo,SP,540,4,5,6,5000000
Rua Sanharó,Jardim Guedala,420,3,6,6,3500000
Rua das Fiandeiras,Vila Olímpia,141,2,2,1,1500000
Alto de Pinheiros São Paulo,SP,490,4,6,5,3800000
Jardim Guedala São Paulo,SP,725,3,8,10,25000
Vila Ida São Paulo,SP,380,4,5,4,3650000
Alto de Pinheiros São Paulo,SP,510,4,3,5,10000
Rua Duartina,Sumaré,402,4,4,4,3800000
Rua Manoel Jacinto do Rego,Vila Romana,191,3,3,2,1150000
Jardim Leonor São Paulo,SP,621,4,4,15,6900000
Vila Ida São Paulo,SP,462,5,6,6,5320000
Rua Tefé,Sumaré,452,3,4,2,2300000
Rua Antônio Splendore,Interlagos,280,3,5,8,2050000
Jardim Europa São Paulo,SP,878,4,6,8,15499000
Rua Argentina,Jardim América,880,3,5,10,20000000
Rua Vieira de Morais,Campo Belo,116,3,2,1,890000
Rua Costa Aguiar,Ipiranga,219,3,1,1,1172000
Avenida das Corujas,Sumarezinho,110,3,1,4,2021300
Planalto Paulista São Paulo,SP,250,4,6,4,1915000
Vila Ida São Paulo,SP,300,4,7,3,20000
Rua Ulisses Esteves Costa,Santana,305,3,3,2,1700000
Rua Humberto I,Vila Mariana,300,3,3,5,1800000
Rua Irmão Gonçalo,Jardim das Bandeiras,810,6,5,8,5700000
Rua Berlioz,Alto de Pinheiros,400,4,5,4,40000
Jardim Morumbi São Paulo,SP,450,4,7,7,1950000
Lar São Paulo São Paulo,SP,586,4,4,5,1680000
Rua Lauro Freire,Jardim Celeste,120,3,1,2,638500
Vila Nova Conceição São Paulo,SP,170,3,5,3,2300000
Jardim Paulista São Paulo,SP,231,2,2,2,4570000
Jardim América São Paulo,SP,650,5,6,4,6000000
Morumbi São Paulo,SP,793,6,6,7,16000
Rua Lessing,Chácara Belenzinho,90,3,2,1,452000
Jardim América São Paulo,SP,440,5,4,5,15000
Vila Tramontano São Paulo,SP,465,4,5,4,3500000
Rua Elias Cutait,Cidade Jardim,280,3,1,3,3500000
Rua Damiana da Cunha,Santa Teresinha,382,3,1,5,1908000
Rua Cordisburgo,Jardim Leonor,550,4,1,6,3310000
Rua Anatólia,Boaçava,650,3,5,2,8000000
Rua Demóstenes,Campo Belo,253,3,2,4,1950000
Consolação São Paulo,SP,500,6,5,10,20000
Avenida Ireré,Planalto Paulista,337,3,4,10,2150000
Avenida Itacira,Planalto Paulista,361,4,6,4,2300000
Avenida Diógenes Ribeiro de Lima,Alto de Pinheiros,190,3,3,5,10000
Rua Nigéria,Itaim Bibi,197,2,4,3,2565000
Rua Marechal Bitencourt,Jardim Paulista,900,5,4,12,15000000
Rua dos Pássaros,Mooca,117,3,3,3,1277000
Rua Vespasiano,Vila Romana,550,4,2,6,2980000
Santo Amaro São Paulo,SP,164,4,3,2,905000
Jardim Guedala São Paulo,SP,564,6,8,7,10000
Rua Fernão Dias,Pinheiros,220,6,2,4,1750000
Vila Madalena São Paulo,SP,250,3,3,3,22000
Rua Engenheiro Guimarães Valadão,Cidade Jardim,360,4,3,2,12000
Rua Doutor Octávio de Oliveira Santos,Brooklin Paulista,190,4,3,3,1350000
Jardim Leonor São Paulo,SP,700,5,7,16,20000
Rua Jovina,Vila Mascote,170,4,4,3,950000
Rua Francisco Correia Dutra,Jardim Maria Luiza,94,2,2,2,429000
Boaçava São Paulo,SP,383,4,5,9,15000
Rua Ytaipu,Mirandópolis,200,2,1,2,915000
Cidade Jardim São Paulo,SP,1000,4,6,8,10000000
Rua João Lourenço,Moema,470,4,4,4,7500000
Pacaembu São Paulo,SP,358,3,5,4,3900000
Jardim Guedala São Paulo,SP,933,4,7,9,8600000
Rua Veneza,Jardim Paulista,380,3,3,2,15000
Pacaembu São Paulo,SP,950,5,4,10,45000
Granja Julieta São Paulo,SP,487,4,4,4,4400000
Planalto Paulista São Paulo,SP,439,4,4,5,3900000
Jardim Paulistano São Paulo,SP,250,3,3,3,2100000
Vila Tramontano São Paulo,SP,580,4,6,6,2900000
Boaçava São Paulo,SP,419,3,5,4,4800000
Rua General Sena Vasconcelos,Jardim Guedala,500,4,3,5,2500000
Jardim Europa São Paulo,SP,400,5,2,4,8790000
Rua Principado de Mônaco,Pacaembu,360,4,5,3,3100000
Rua Caucaia do Alto,Vila Albertina,497,3,3,5,920000
Instituto de Previdência São Paulo,SP,306,4,4,3,1790000
Rua Cuxiponês,Jardim Vera Cruz,160,3,2,3,1350000
Rua Alemanha,Jardim Europa,551,3,5,3,7700000
Real Parque São Paulo,SP,450,5,6,4,3600000
Jardim Guedala São Paulo,SP,1080,5,9,10,25000
Rua Antônio Mariani,Instituto de Previdência,326,3,5,2,1050000
Rua Grécia,Jardim Europa,650,5,5,4,10000000
Instituto de Previdência São Paulo,SP,245,3,4,4,990000
Rua José Ferreira da Rocha Filho,Jardim Monte Kemel,130,3,4,2,775000
Rua Apeu,Vila Brasílio Machado,293,4,6,3,2500000
Alto de Pinheiros São Paulo,SP,800,4,6,11,37000
Avenida Amarilis,Cidade Jardim,661,4,7,8,5900000
Rua Inocêncio Nogueira,Cidade Jardim,727,6,2,7,5800000
Avenida Ceci,Planalto Paulista,350,4,4,3,2500000
Butantã São Paulo,SP,500,5,4,5,22500
Rua Aperca,Boaçava,1074,4,4,6,8000000
Rua Pirapó,Jardim Guedala,550,4,6,8,4200000
Rua dos Otonis,Vila Clementino,220,4,2,7,2350000
Brooklin Paulista São Paulo,SP,116,3,4,2,850000
Vila Madalena São Paulo,SP,337,3,3,4,5800000
Rua Francisco Riva,Conjunto Habitacional Barreira Grande,132,3,1,2,350000
Paineiras do Morumbi São Paulo,SP,800,6,7,9,35000
Rua Marambá,Água Fria,200,4,4,5,1270000
Rua Ytaipu,Mirandópolis,270,4,3,3,1790000
Rua José Vicente de Azevedo,Vila Mariana,240,3,4,6,1900000
Rua Jati,Planalto Paulista,289,3,4,2,1500000
Cidade Domitila São Paulo,SP,300,3,4,4,4000
Rua Juréia,Chácara Inglesa,125,2,1,2,851000
Rua Tomé Portes,Brooklin Paulista,480,4,4,3,1900000
Rua Abegoaria,Jardim das Bandeiras,686,4,8,6,4990000
Jardim Morumbi São Paulo,SP,700,4,5,6,22000
Rua Ceará,Consolação,477,4,6,4,30000
Jardim Europa São Paulo,SP,230,3,4,2,2700000
Rua Tomás Lopes Ferreira,Parque São Domingos,240,3,3,5,900000
Rua Padre Raposo,Mooca,135,2,3,2,692000
Rua dos Macunis,Vila Madalena,300,3,4,4,19000
Sumarezinho São Paulo,SP,251,4,2,4,1700000
Rua Leandro de Carvalho,Vila Monumento,200,3,5,1,1030000
Rua Porangaba,Bosque da Saúde,172,2,3,4,930000
Rua Ministro Eduardo de Campos Maia,Jardim Bonfiglioli,170,3,3,3,1100000
Vila Madalena São Paulo,SP,379,2,3,3,24000
Jardim Paulista São Paulo,SP,420,3,4,3,9200000
Butantã São Paulo,SP,233,4,6,4,14000
Rua Bento de Faria,Bosque da Saúde,500,5,8,7,2780000
Rua São Samuel,Vila Mariana,500,4,3,5,4000000
Alameda dos Guainumbis,Planalto Paulista,600,4,4,6,10000
Avenida Morumbi,Morumbi,680,3,5,6,2500000
Jardim Guedala São Paulo,SP,900,4,6,10,6500000
Jardim Everest São Paulo,SP,700,5,5,5,26000
Alto de Pinheiros São Paulo,SP,670,5,7,7,15000000
Rua Tuiucuê,Jardim da Saúde,450,6,7,4,1800000
Rua Antônio Peres Mulla,Vila Carrão,85,3,2,1,480000
Rua Montevidéu,Bela Aliança,298,3,4,5,2490000
Rua Managua,Jardim Everest,956,5,7,6,50000
Rua Acarapé,Chácara Inglesa,400,3,3,2,1385000
Rua Rubi,Vila do Encontro,395,4,2,3,2400000
Rua Asfaltite,Vila Formosa,120,2,3,1,580000
Rua Guapiaçu,Vila Clementino,250,2,2,1,800000
Rua Doutor João Pinheiro,Jardim Paulista,450,3,4,2,5700000
Rua Doutor Carlos Norberto de Souza Aranha,Alto de Pinheiros,379,4,6,5,4787000
Jardim Guedala São Paulo,SP,335,3,3,4,2800000
Rua Enrico de Martino,Jardim Leonor,750,4,7,8,4500000
Alto de Pinheiros São Paulo,SP,413,4,7,4,5300000
Rua José de Cristo Moreira,Vila Morumbi,525,4,6,4,2950000
Jardim Cordeiro São Paulo,SP,850,4,6,6,7500000
Rua Raul de Morais Vítor,Vila Albertina,150,5,6,2,498000
Jardim Leonor São Paulo,SP,875,4,7,6,5000000
Rua Bacopari,Boaçava,419,3,4,4,4800000
Alameda Sorimãs,Planalto Paulista,380,3,5,3,1700000
Jardim Europa São Paulo,SP,953,3,7,10,22000000
Vila Ida São Paulo,SP,234,3,5,5,2350000
Jardim Vila Mariana São Paulo,SP,160,3,4,4,1100000
Rua Ernesto Nazaré,Alto de Pinheiros,480,4,5,7,3900000
Jardim Paulista São Paulo,SP,180,3,2,1,3000000
Alto de Pinheiros São Paulo,SP,520,3,3,4,5300000
Rua Boa Esperança do Sul,Jardim Guedala,406,4,4,3,2700000
Rua Joaquim Nabuco,Brooklin Paulista,278,4,6,3,2500000
Alto de Pinheiros São Paulo,SP,340,5,4,4,2540000
Jardim Guedala São Paulo,SP,681,2,3,6,2300000
Rua Aperca,Boaçava,944,5,8,8,8000000
Rua Araporé,Jardim Guedala,431,4,5,6,4000000
Jardim das Bandeiras São Paulo,SP,450,3,4,3,3850000
Jardim Leonor São Paulo,SP,463,4,6,4,3950000
Boaçava São Paulo,SP,376,4,5,4,3400000
Alameda dos Indígenas,Planalto Paulista,300,3,4,4,1500000
Rua Domingos Nogueira,Jardim Dracena,173,2,3,4,445000
Jardim Leonor São Paulo,SP,1000,5,7,4,8000000
Rua Murajuba,Alto de Pinheiros,530,4,4,8,5200000
Avenida Antônio Joaquim de Moura Andrade,Vila Nova Conceição,434,5,6,5,45000
Rua Valdomiro Lobo da Costa,Vila das Mercês,250,3,5,5,1100000
Jardim Paulista São Paulo,SP,425,3,4,5,9800000
Rua das Fiandeiras,Vila Olímpia,155,2,3,2,2700000
Rua Dom Sebastião do Rego,Vila Gumercindo,206,3,1,1,800000
